CTY24CD,CTY24NM,RGN24CD,RGN24NM
Cambridgeshire,Cambridgeshire,E120002,East of England
Cumbria,Cumbria,E120003,East of England
Derbyshire,Derbyshire,E120004,East Midlands
Devon,Devon,E120005,West Midlands
Dorset,Dorset,E120006,South East
East Sussex,East Sussex,E120007,South East
Essex,Essex,E120008,South East
Gloucestershire,Gloucestershire,E120009,Yorkshire and The Humber
Hampshire,Hampshire,E120001,East of England
Hertfordshire,Hertfordshire,E120002,London
Kent,Kent,E120003,Yorkshire and The Humber
Lancashire,Lancashire,E120004,North West
Leicestershire,Leicestershire,E120005,South East
Lincolnshire,Lincolnshire,E120006,East of England
Norfolk,Norfolk,E120007,East of England
North Yorkshire,North Yorkshire,E120008,South West
Northamptonshire,Northamptonshire,E120009,Yorkshire and The Humber
Nottinghamshire,Nottinghamshire,E120001,East of England
Oxfordshire,Oxfordshire,E120002,South East
Somerset,Somerset,E120003,South East
Staffordshire,Staffordshire,E120004,London
Suffolk,Suffolk,E120005,South East
Surrey,Surrey,E120006,South East
Warwickshire,Warwickshire,E120007,East of England
West Sussex,West Sussex,E120008,North East
Worcestershire,Worcestershire,E120009,East of England
