LAD24CD,LAD24NM,CTY24CD,CTY24NM
E00006004,District_4,Cumbria,Cumbria
E00006021,District_21,Suffolk,Suffolk
E00006022,District_22,Cambridgeshire,Cambridgeshire
E00006045,District_45,Derbyshire,Derbyshire
E00006077,District_77,Norfolk,Norfolk
E00006079,District_79,Surrey,Surrey
E00006082,District_82,Hertfordshire,Hertfordshire
E00006086,District_86,Cambridgeshire,Cambridgeshire
E00006087,District_87,Kent,Kent
E00006089,District_89,Worcestershire,Worcestershire
E00006101,District_101,West Sussex,West Sussex
E00006102,District_102,Warwickshire,Warwickshire
E00006105,District_105,North Yorkshire,North Yorkshire
E00006106,District_106,Derbyshire,Derbyshire
E00006112,District_112,Hertfordshire,Hertfordshire
E00006136,District_136,Worcestershire,Worcestershire
E00006142,District_142,Surrey,Surrey
E00006173,District_173,Hertfordshire,Hertfordshire
E00006181,District_181,Norfolk,Norfolk
E00006196,District_196,Gloucestershire,Gloucestershire
E00006204,District_204,Nottinghamshire,Nottinghamshire
E00006210,District_210,Somerset,Somerset
E00006214,District_214,Gloucestershire,Gloucestershire
E00006215,District_215,Oxfordshire,Oxfordshire
E00006217,District_217,Hertfordshire,Hertfordshire
E00006220,District_220,Lancashire,Lancashire
E00006232,District_232,Essex,Essex
E00006234,District_234,Kent,Kent
E00006249,District_249,Northamptonshire,Northamptonshire
E00006259,District_259,Gloucestershire,Gloucestershire
E00006260,District_260,Somerset,Somerset
E00006273,District_273,Lancashire,Lancashire
E00006274,District_274,Derbyshire,Derbyshire
E00006276,District_276,Nottinghamshire,Nottinghamshire
E00006288,District_288,Staffordshire,Staffordshire
E00006295,District_295,Warwickshire,Warwickshire
E00006299,District_299,Suffolk,Suffolk
E00006307,District_307,Hampshire,Hampshire
