LAD24CD,LAD24NM,RGN24CD,RGN24NM
E00006001,District_1,E120004,North West
E00006002,District_2,E120006,Yorkshire and The Humber
E00006003,District_3,E120001,East Midlands
E00006004,District_4,E120005,South West
E00006005,District_5,E120008,West Midlands
E00006006,District_6,E120005,Yorkshire and The Humber
E00006007,District_7,E120004,South East
E00006008,District_8,E120005,Yorkshire and The Humber
E00006009,District_9,E120005,North West
E00006010,District_10,E120008,South West
E00006011,District_11,E120005,London
E00006012,District_12,E120005,South West
E00006013,District_13,E120002,East Midlands
E00006014,District_14,E120003,West Midlands
E00006015,District_15,E120003,North East
E00006016,District_16,E120009,Yorkshire and The Humber
E00006017,District_17,E120005,West Midlands
E00006018,District_18,E120006,London
E00006019,District_19,E120009,East Midlands
E00006020,District_20,E120007,North West
E00006021,District_21,E120008,East Midlands
E00006022,District_22,E120003,London
E00006023,District_23,E120006,North West
E00006024,District_24,E120006,East Midlands
E00006025,District_25,E120002,East Midlands
E00006026,District_26,E120007,North West
E00006027,District_27,E120009,Yorkshire and The Humber
E00006028,District_28,E120006,London
E00006029,District_29,E120006,Yorkshire and The Humber
E00006030,District_30,E120008,North West
E00006031,District_31,E120004,London
E00006032,District_32,E120005,London
E00006033,District_33,E120005,Yorkshire and The Humber
E00006034,District_34,E120005,South West
E00006035,District_35,E120007,West Midlands
E00006036,District_36,E120004,North East
E00006037,District_37,E120004,London
E00006038,District_38,E120006,London
E00006039,District_39,E120008,South East
E00006040,District_40,E120005,North East
E00006041,District_41,E120008,South West
E00006042,District_42,E120009,North East
E00006043,District_43,E120008,Yorkshire and The Humber
E00006044,District_44,E120006,Yorkshire and The Humber
E00006045,District_45,E120007,West Midlands
E00006046,District_46,E120003,West Midlands
E00006047,District_47,E120005,Yorkshire and The Humber
E00006048,District_48,E120008,South East
E00006049,District_49,E120006,South East
E00006050,District_50,E120001,London
E00006051,District_51,E120002,South East
E00006052,District_52,E120001,North East
E00006053,District_53,E120001,South East
E00006054,District_54,E120006,East Midlands
E00006055,District_55,E120002,London
E00006056,District_56,E120005,East Midlands
E00006057,District_57,E120001,Yorkshire and The Humber
E00006058,District_58,E120005,South West
E00006059,District_59,E120002,West Midlands
E00006060,District_60,E120008,North East
E00006061,District_61,E120003,South West
E00006062,District_62,E120003,East Midlands
E00006063,District_63,E120007,North East
E00006064,District_64,E120009,Yorkshire and The Humber
E00006065,District_65,E120003,East of England
E00006066,District_66,E120009,North West
E00006067,District_67,E120006,South East
E00006068,District_68,E120008,West Midlands
E00006069,District_69,E120003,Yorkshire and The Humber
E00006070,District_70,E120003,East Midlands
E00006071,District_71,E120009,South West
E00006072,District_72,E120001,South East
E00006073,District_73,E120004,West Midlands
E00006074,District_74,E120004,South West
E00006075,District_75,E120005,North West
E00006076,District_76,E120009,Yorkshire and The Humber
E00006077,District_77,E120007,West Midlands
E00006078,District_78,E120009,East of England
E00006079,District_79,E120006,South West
E00006080,District_80,E120007,East of England
E00006081,District_81,E120007,East of England
E00006082,District_82,E120008,South West
E00006083,District_83,E120003,North East
E00006084,District_84,E120001,West Midlands
E00006085,District_85,E120002,Yorkshire and The Humber
E00006086,District_86,E120002,Yorkshire and The Humber
E00006087,District_87,E120005,South East
E00006088,District_88,E120007,Yorkshire and The Humber
E00006089,District_89,E120005,East Midlands
E00006090,District_90,E120004,South West
E00006091,District_91,E120006,London
E00006092,District_92,E120007,London
E00006093,District_93,E120003,West Midlands
E00006094,District_94,E120003,East of England
E00006095,District_95,E120007,London
E00006096,District_96,E120005,West Midlands
E00006097,District_97,E120006,East of England
E00006098,District_98,E120002,West Midlands
E00006099,District_99,E120003,East of England
E00006100,District_100,E120001,West Midlands
E00006101,District_101,E120004,London
E00006102,District_102,E120008,East of England
E00006103,District_103,E120002,North West
E00006104,District_104,E120006,East of England
E00006105,District_105,E120004,London
E00006106,District_106,E120002,North West
E00006107,District_107,E120001,South West
E00006108,District_108,E120003,East Midlands
E00006109,District_109,E120007,West Midlands
E00006110,District_110,E120002,North West
E00006111,District_111,E120003,North West
E00006112,District_112,E120002,London
E00006113,District_113,E120008,East Midlands
E00006114,District_114,E120004,South East
E00006115,District_115,E120004,North West
E00006116,District_116,E120002,South West
E00006117,District_117,E120004,Yorkshire and The Humber
E00006118,District_118,E120008,East of England
E00006119,District_119,E120006,South East
E00006120,District_120,E120008,South West
E00006121,District_121,E120008,East of England
E00006122,District_122,E120009,East Midlands
E00006123,District_123,E120006,London
E00006124,District_124,E120009,North West
E00006125,District_125,E120007,London
E00006126,District_126,E120001,East Midlands
E00006127,District_127,E120003,South East
E00006128,District_128,E120002,London
E00006129,District_129,E120005,West Midlands
E00006130,District_130,E120003,North West
E00006131,District_131,E120002,North West
E00006132,District_132,E120004,East Midlands
E00006133,District_133,E120006,South East
E00006134,District_134,E120008,North East
E00006135,District_135,E120004,South East
E00006136,District_136,E120007,South East
E00006137,District_137,E120001,London
E00006138,District_138,E120009,East of England
E00006139,District_139,E120005,London
E00006140,District_140,E120005,London
E00006141,District_141,E120001,West Midlands
E00006142,District_142,E120007,North West
E00006143,District_143,E120002,Yorkshire and The Humber
E00006144,District_144,E120003,Yorkshire and The Humber
E00006145,District_145,E120009,South West
E00006146,District_146,E120001,Yorkshire and The Humber
E00006147,District_147,E120002,Yorkshire and The Humber
E00006148,District_148,E120008,South East
