"","x"
"1",63.9000015258789
"2",61.625
"3",60.0849990844727
"4",60.7000007629395
"5",62.7249984741211
"6",67.6999969482422
"7",65.6849975585938
"8",67.1750030517578
"9",67.0774993896484
"10",70
"11",70.5999984741211
"12",71.8450012207031
"13",71.1725006103516
"14",69.4875030517578
"15",69.0699996948242
"16",68.4024963378906
"17",68.9674987792969
"18",69.3000030517578
"19",70.4499969482422
"20",71.2699966430664
"21",71.182502746582
"22",72.4899978637695
"23",71.5625
"24",72.2925033569336
"25",73.7649993896484
"26",75.1149978637695
"27",75.8050003051758
"28",76.4100036621094
"29",77.0250015258789
"30",79.4574966430664
"31",78.0374984741211
"32",76.1275024414062
"33",75.0875015258789
"34",78.2925033569336
"35",78.7574996948242
"36",79.1699981689453
"37",79.6650009155273
"38",78.942497253418
"39",80.875
"40",79.0350036621094
"41",79.192497253418
"42",79.8125
"43",79.4375
"44",80.1875
"45",81.1650009155273
"46",81.0975036621094
"47",80.8375015258789
"48",82.5625
"49",83.0350036621094
"50",86.9749984741211
"51",87.3274993896484
"52",86.1800003051758
"53",83.3125
"54",87.8649978637695
"55",88.7874984741211
"56",87.8525009155273
"57",88.6600036621094
"58",87.8349990844727
"59",91
"60",91.25
"61",90.1750030517578
"62",91.1025009155273
"63",88.3125
"64",90.0199966430664
"65",91.2799987792969
"66",91.9625015258789
"67",92.5
"68",93.8525009155273
"69",94.1800003051758
"70",96.2624969482422
"71",95.3349990844727
"72",97.2649993896484
"73",94.8399963378906
"74",98.9899978637695
"75",96.5625
"76",96.9875030517578
"77",96.4175033569336
"78",99.1725006103516
"79",96.692497253418
"80",96.9974975585938
"81",90.9875030517578
"82",93.7099990844727
"83",94.3675003051758
"84",93.75
"85",94.1875
"86",102.88500213623
"87",108.199996948242
"88",109.132499694824
"89",109.377502441406
"90",110.404998779297
"91",113.205001831055
"92",112.599998474121
"93",111.970001220703
"94",110.497497558594
"95",114.430000305176
"96",114.830001831055
"97",116.0625
"98",114.352500915527
"99",115.982498168945
"100",115.75
"101",119.262496948242
"102",128.697494506836
"103",124.69750213623
"104",126.180000305176
"105",127.142501831055
"106",126.012496948242
"107",127.580001831055
"108",132.759994506836
"109",137.589996337891
"110",126.910003662109
"111",120.069999694824
"112",113.949996948242
"113",117.26000213623
"114",120.360000610352
"115",114.569999694824
"116",114.720001220703
"117",118.330001831055
"118",115.230003356934
"119",109.720001220703
"120",110.400001525879
"121",104.540000915527
"122",112.680000305176
"123",111.620002746582
"124",105.169998168945
"125",108.430000305176
"126",115.01000213623
"127",114.550003051758
"128",113.790000915527
"129",117.639999389648
"130",112.889999389648
"131",113.910003662109
"132",115.699996948242
"133",114.620002746582
"134",116.25
"135",115.279998779297
"136",120.059997558594
"137",125.269996643066
"138",121
"139",118.720001220703
"140",121.279998779297
"141",119.959999084473
"142",116.199996948242
"143",116.669998168945
"144",117.449996948242
"145",116.389999389648
"146",114.01000213623
"147",115.48999786377
"148",115.050003051758
"149",112.370002746582
"150",111.059997558594
"151",109.110000610352
"152",109.660003662109
"153",114.139999389648
"154",117.949996948242
"155",118.319999694824
"156",120.5
"157",115.550003051758
"158",117.190002441406
"159",119.620002746582
"160",119.440002441406
"161",118.919998168945
"162",119.550003051758
"163",118.610000610352
"164",117.589996337891
"165",118.639999389648
"166",117.180000305176
"167",113.910003662109
"168",115.550003051758
"169",116.569999694824
"170",116.970001220703
"171",121.01000213623
"172",122.019996643066
"173",123.519996643066
"174",122.599998474121
"175",122.309997558594
"176",124.370002746582
"177",124.529998779297
"178",120.5
"179",122.430000305176
"180",122.599998474121
"181",124.339996337891
"182",127.410003662109
"183",128.899993896484
"184",128.960006713867
"185",125.019996643066
"186",131.610000610352
"187",132.160003662109
"188",131.320007324219
"189",133.990005493164
"190",138.050003051758
"191",135.580001831055
"192",134.080001831055
"193",133.520004272461
"194",128.889999389648
"195",127.720001220703
"196",128.360000610352
"197",132.429992675781
"198",129.190002441406
"199",128.5
"200",128.759994506836
"201",130.800003051758
"202",128.779998779297
"203",127.779998779297
"204",128.660003662109
"205",133.800003051758
"206",136.279998779297
"207",143.070007324219
"208",143.600006103516
"209",143.429992675781
"210",139.520004272461
"211",135.830001831055
"212",133.75
"213",135.729995727539
"214",135.759994506836
"215",136.300003051758
"216",137.350006103516
"217",136.029998779297
"218",136.619995117188
"219",136.479995727539
"220",135.899993896484
"221",134.350006103516
"222",135.490005493164
"223",131.25
"224",129.199996948242
"225",130.240005493164
"226",128.009994506836
"227",123.76000213623
"228",124.940002441406
"229",124.680000305176
"230",122.589996337891
"231",123.75
"232",128.410003662109
"233",124.809997558594
"234",121.75
"235",120.980003356934
"236",120.930000305176
"237",119.029998779297
"238",121.690002441406
"239",122.540000915527
"240",120.400001525879
"241",121.410003662109
"242",125.699996948242
"243",124.050003051758
"244",122.879997253418
"245",119.900001525879
"246",120.330001831055
"247",123.330001831055
