LAD24CD,LAD24NM,Region,CTY24CD,Income,Employment,Education,Health,Crime,Barriers,Living,Overall,Rank
E00006001,District_1,NA,NA,25.158183197181135,24.97540613882986,23.139572550137068,18.502702362438182,19.053311754591824,22.680215117992685,26.99554804039512,23.296049090331223,114
E00006002,District_2,North East,NA,26.01970215410619,28.816368003576773,30.570791746417036,28.60907633285469,31.805690072031656,18.943143515613613,22.606423291699404,27.183115263259598,63
E00006003,District_3,NA,NA,12.307650149515634,12.121279698191097,17.18029022293573,14.587040581125194,16.729394224947427,7.942742063935519,19.360113547535715,13.871362041004335,244
E00006004,District_4,NA,Cumbria,22.141235221552773,17.053346649666146,16.812502411740553,21.743315655453905,37.495587930278106,10.305518910402244,22.3888694692634,20.579919762193846,151
E00006005,District_5,NA,NA,37.10742321796887,35.266257581525295,29.36897565452977,33.12761711648785,27.919585122789954,33.97202563250206,39.727846233919294,34.17632738677905,19
E00006006,District_6,NA,NA,10.735618942552211,8.764672443983102,2.8860058951186076,8.552135560531958,15.218776416604326,9.363144167115825,12.93006427636685,9.430702898809702,286
E00006007,District_7,NA,NA,13.262975906626533,10.387060971614673,6.594959784473549,0.3466749113830616,13.454865522458787,13.867131582157727,1.8895051879677212,9.024024173400578,289
E00006008,District_8,London,NA,7.350801988636089,12.659350978899075,24.560702465556336,13.288409774840531,13.755452670060071,16.89539030762584,29.769593810158444,15.20300809594341,225
E00006009,District_9,NA,NA,21.987352768923135,23.554558069562756,15.859252237090288,29.05245970789469,23.641742230162087,42.835277895516235,35.60034014038467,25.82935857580636,79
E00006010,District_10,NA,NA,7.741179232124379,5.658982495095255,18.179411877182012,14.170421469216818,12.078292940469117,17.637323732610422,9.530144820200265,11.06296050814884,270
E00006011,District_11,NA,NA,24.985354294856307,33.86687271565385,20.957955766054475,29.628809683139156,29.856577062966007,30.69135472827753,19.22621681022043,27.5533774460939,59
E00006012,District_12,NA,NA,15.24051403450256,20.593499307179925,20.965411966231535,25.77179806623293,17.041254739649652,28.51601943030618,39.363519035048675,22.242834115561447,128
E00006013,District_13,NA,NA,14.809407049290858,16.562819190038567,5.306009531736027,4.298619889194308,13.447116582988341,20.49497276338874,7.7957143772968855,12.281488657537258,260
E00006014,District_14,Yorkshire and The Humber,NA,11.650723564725403,17.75094994805418,13.216838577583882,11.430177287704733,13.624235616534069,6.686980115270666,13.204696431889825,13.060711855580903,255
E00006015,District_15,NA,NA,28.334241967532094,22.677912882880094,12.318804582221812,11.459776064329171,3.465204076745753,17.15416145531607,18.277658143979444,18.291672187131145,185
E00006016,District_16,NA,NA,35.66673718647104,30.15287825572058,16.1274603848755,7.212012767045435,2.4755783132638385,21.309048838703177,28.499787211522722,22.784762778476356,124
E00006017,District_17,NA,NA,16.34289270534879,19.13167991332359,19.35963077101638,21.66597540123316,7.6439743554671225,23.253752422386626,23.187283032380883,18.542375189265357,181
E00006018,District_18,NA,NA,13.745431370717498,11.574555734471758,18.112045717385286,18.378024635335514,15.843381401644619,2.426108982123907,18.93884441920388,14.063254180471251,240
E00006019,District_19,NA,NA,6.203672144169362,11.436537496436163,13.734970104381109,8.167322858796553,12.322695717864198,27.242629289234902,24.93011860523772,12.928273269311038,256
E00006020,District_20,West Midlands,NA,21.545033705689416,23.328238787859043,30.834257124138773,25.48937516343835,28.347020467306642,35.625547979048,32.08072674092361,26.664836078958132,70
E00006021,District_21,NA,Suffolk,37.12539139890396,40.22269952701437,24.350489530133608,20.13813360067649,28.162041972086257,35.20217239377564,25.02780813352279,31.681387677764917,31
E00006022,District_22,NA,Cambridgeshire,18.043927838425848,14.474827861662403,19.412657487811487,11.34410342779528,4.802384379834043,15.747861262966747,7.13152485070645,14.062993328756425,241
E00006023,District_23,NA,NA,19.08843698895045,18.672632890420974,26.59059599760647,19.775673982961287,21.39292837068449,16.099552242186668,24.06594355544673,20.483407748448187,153
E00006024,District_24,Yorkshire and The Humber,NA,29.332078416562588,28.4529660834705,24.20351330775774,25.621099729078946,29.52212885580289,5.120931372034104,5.41038739778716,23.505983359925757,112
E00006025,District_25,NA,NA,5.125547578271302,9.994486496224066,7.023609777904346,16.183645509387684,14.110459518037853,1.2896743358261915,12.705359751966071,9.141482224339914,287
